date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
2025-09-30,0.00,0,3.4,2.6,90.0
2025-10-01,0.00,0,7.3,2.8,90.0
2025-10-02,0.00,0,6.7,3.0,90.0
2025-10-03,0.00,0,6.6,2.7,90.0
2025-10-04,0.00,0,3.5,3.0,90.0
2025-10-05,-1,-1,5.3,2.7,90.0
2025-10-06,-1,-1,8.9,4.4,90.0
2025-10-07,-1,-1,8.7,3.6,90.0
2025-10-08,-1,-1,7.9,2.0,90.0
2025-10-09,-1,-1,7.9,0.8,90.0
2025-10-10,-1,-1,6.7,1.5,90.0
2025-10-11,-1,-1,5.3,0.7,90.0
2025-10-12,0.00,0,5.1,0.4,90.0
2025-10-13,-1,-1,5.9,1.0,90.0
2025-10-14,-1,-1,8.4,5.3,90.0
2025-10-15,0.00,0,7.7,0.7,90.0
2025-10-16,0.00,0,6.0,-1.8,90.0
2025-10-17,0.00,0,0.9,-2.3,90.0
2025-10-18,0.00,0,2.4,-2.1,90.0
2025-10-19,0.00,0,5.7,0.0,90.0
2025-10-20,0.06,8.1,1.7,-1.0,90.0
2025-10-21,0.00,0,-0.1,-0.1,90.0
2025-10-25,-1,-1,4.1,0.0,90.0
2025-10-26,-1,-1,3.5,0.1,90.0
2025-10-27,-1,-1,3.1,1.2,90.0
2025-10-28,0.00,0,2.8,-1.3,90.0
2025-10-29,0.23,11.7,0.8,-2.8,90.0
2025-10-30,0.00,0,-2.8,-2.8,90.0
2025-10-31,0.54,11.4,-1.3,-3.6,90.0
2025-11-01,-1,-1,2.2,-3.2,90.0
2025-11-02,0.38,8.2,4.2,-0.6,90.0
2025-11-03,0.00,0,3.6,-0.2,90.0
2025-11-04,-1,-1,7.2,1.5,90.0
2025-11-05,0.00,0,7.2,3.1,90.0
2025-11-06,0.00,0,6.0,2.1,90.0
2025-11-07,0.00,0,6.4,1.4,90.0
2025-11-08,0.00,0,5.7,1.7,90.0
2025-11-09,0.87,9.8,5.4,-0.9,90.0
2025-11-10,-1,-1,3.0,-0.9,90.0
2025-11-11,-1,-1,3.1,0.5,90.0
2025-11-12,-1,-1,5.8,-2.5,90.0
2025-11-13,0.00,0,5.1,-6.4,90.0
2025-11-14,0.00,0,-3.7,-6.4,90.0
2025-11-15,0.30,10.9,-1.6,-6.6,90.0
2025-11-16,0.72,15.1,-1.9,-7.5,90.0
2025-11-17,0.52,15.3,-4.2,-6.8,90.0
2025-11-18,0.00,0,-4.8,-4.8,90.0
2025-11-19,0.00,0,-7.3,-10.0,90.0
2025-11-20,0.00,0,-9.0,-11.0,90.0
2025-11-21,0.00,0,-5.6,-10.8,90.0
2025-11-22,0.06,11.6,-1.5,-6.8,90.0
2025-11-23,0.48,16.1,-1.1,-6.3,90.0
2025-11-24,1.40,16.1,-3.7,-9.7,90.0
2025-11-25,0.00,0,-5.4,-10.2,90.0
2025-11-26,3.51,13.3,-3.0,-8.2,90.0
2025-11-27,-1,-1,2.5,-9.0,90.0
2025-11-28,0.07,8.0,2.7,-1.3,90.0
2025-11-29,0.00,0,1.1,-5.6,90.0
2025-11-30,14.78,15.2,-3.4,-5.9,90.0
2025-12-01,2.57,12.4,-0.7,-6.1,90.0
2025-12-02,0.14,9.6,1.3,-2.9,90.0
2025-12-03,0.00,0,0.7,-2.1,90.0
2025-12-04,0.00,0,-0.4,-4.4,90.0
2025-12-05,0.49,12.2,-1.7,-5.9,90.0
2025-12-06,8.97,11.3,-1.7,-2.6,90.0
2025-12-07,4.80,10.9,-0.9,-2.5,90.0
2025-12-08,2.67,10.0,-0.5,-1.3,90.0
2025-12-09,0.85,11.7,-0.5,-3.3,90.0
2025-12-10,4.72,11.3,0.0,-2.8,90.0
2025-12-11,0.00,0,-0.8,-1.4,90.0
