date,snowfall_cm,slr,temp_max,temp_min,humidity_avg,accumulated_snowfall_cm
2008-11-01,0.00,0,-2.8,-6.4,90.0,0.00
2008-11-02,0.00,0,1.7,-3.0,83.0,0.00
2008-11-03,-1,-1,5.3,1.6,84.1,0.00
2008-11-04,0.00,0,4.5,0.0,77.9,0.00
2008-11-05,0.00,0,5.6,-1.6,73.5,0.00
2008-11-06,0.00,0,1.9,-0.7,80.3,0.00
2008-11-07,0.73,10.4,3.0,-4.2,72.3,0.73
2008-11-08,-1,-1,2.8,-1.0,100.0,0.73
2008-11-09,-1,-1,2.1,-2.1,100.0,0.73
2008-11-10,4.34,8.7,0.6,-3.3,99.5,5.07
2008-11-11,0.00,0,-0.6,-2.5,93.8,5.07
2008-11-12,0.00,0,-0.3,-6.2,93.0,5.07
2008-11-13,0.35,11.9,-2.4,-6.4,97.8,5.42
2008-11-14,1.69,9.6,-0.3,-2.3,99.6,7.11
2008-11-15,1.22,9.5,0.3,-5.8,98.2,8.33
2008-11-16,0.15,15.1,-3.8,-7.3,91.8,8.48
2008-11-17,2.43,11.5,-2.1,-5.2,87.8,10.91
2008-11-18,0.18,12.2,-1.7,-6.6,87.5,11.09
2008-11-19,1.02,13.6,-4.4,-6.9,96.0,12.11
2008-11-20,0.07,18.9,-5.6,-8.7,83.6,12.18
2008-11-21,0.12,15.5,-5.2,-7.6,87.1,12.30
2008-11-22,0.87,14.0,-4.1,-9.2,95.1,13.17
2008-11-23,1.24,20.0,-8.8,-12.0,95.8,14.41
2008-11-24,2.03,16.7,-6.8,-8.4,98.4,16.44
2008-11-25,1.22,13.4,-2.2,-8.1,99.6,17.66
2008-11-26,0.82,12.4,-0.1,-4.2,93.3,18.48
2008-11-27,-1,-1,3.0,-2.9,81.6,18.48
2008-11-28,0.00,0,-2.7,-6.3,76.0,18.48
2008-11-29,17.17,15.2,-3.8,-7.7,96.5,35.65
2008-11-30,5.13,11.5,-3.1,-5.9,99.3,40.78
2008-12-01,0.59,15.1,-2.1,-7.3,96.3,41.37
2008-12-02,7.46,17.0,-4.5,-9.0,98.7,48.83
2008-12-03,9.69,14.8,-5.2,-6.4,99.5,58.52
2008-12-04,0.17,16.7,-5.8,-7.7,99.2,58.69
2008-12-05,3.75,15.0,-5.5,-9.2,98.7,62.44
2008-12-06,1.33,13.4,-3.7,-8.1,99.7,63.77
2008-12-07,0.09,13.6,-5.0,-8.7,97.3,63.86
2008-12-08,0.52,11.7,-3.4,-5.4,97.0,64.38
2008-12-09,0.00,0,-4.2,-8.2,86.9,64.38
2008-12-10,0.00,0,-6.5,-10.5,97.4,64.38
2008-12-11,6.06,19.5,-8.5,-10.4,96.5,70.44
2008-12-12,5.84,15.4,-5.2,-9.5,98.5,76.28
2008-12-13,0.37,18.8,-6.8,-10.1,97.0,76.65
2008-12-14,1.02,14.5,-4.4,-6.3,99.9,77.67
2008-12-15,0.31,15.3,-4.6,-8.2,99.4,77.98
2008-12-16,0.73,10.9,-2.3,-4.6,100.0,78.71
2008-12-17,0.52,10.6,-2.3,-4.1,100.0,79.23
2008-12-18,2.51,7.2,1.0,-2.1,94.5,81.74
2008-12-19,0.12,15.2,-1.9,-7.2,78.3,81.86
2008-12-20,2.26,13.2,-3.6,-5.4,98.8,84.12
2008-12-21,2.30,14.6,-2.9,-6.8,95.7,86.42
2008-12-22,0.00,0,-2.1,-6.5,87.1,86.42
2008-12-23,0.98,13.0,-2.3,-7.2,86.6,87.40
2008-12-24,0.00,0,-0.7,-3.0,85.9,87.40
2008-12-25,0.00,0,3.1,-1.7,75.8,87.40
2008-12-26,0.09,10.5,0.7,-1.8,86.6,87.49
2008-12-27,0.00,0,-1.6,-4.4,84.3,87.49
2008-12-28,0.00,0,-0.6,-5.1,74.0,87.49
2008-12-29,0.00,0,-2.5,-6.9,75.7,87.49
2008-12-30,0.00,0,-3.1,-5.1,81.3,87.49
2008-12-31,0.13,18.7,-2.2,-9.7,86.5,87.62
2009-01-01,0.13,20.8,-9.3,-10.9,86.1,87.75
2009-01-02,13.62,15.7,-4.9,-9.3,95.9,101.37
2009-01-03,3.65,19.4,-8.8,-15.2,92.8,105.02
2009-01-04,0.00,0,-8.6,-13.9,91.0,105.02
2009-01-05,0.36,13.4,-3.8,-9.4,91.5,105.38
2009-01-06,0.88,15.8,-3.2,-13.2,87.8,106.26
2009-01-07,0.86,19.4,-8.8,-12.8,85.3,107.12
2009-01-08,1.06,17.7,2.4,-9.1,89.0,108.18
2009-01-09,0.00,0,2.2,-0.5,88.6,108.18
2009-01-10,0.00,0,1.0,-3.2,66.8,108.18
2009-01-11,0.34,7.4,2.3,-1.2,93.1,108.52
2009-01-12,0.00,0,2.5,0.5,88.2,108.52
2009-01-13,0.06,8.8,0.1,-4.0,85.1,108.58
2009-01-14,4.12,17.0,-3.4,-13.9,96.0,112.70
2009-01-15,0.00,0,-12.1,-15.6,83.9,112.70
2009-01-16,0.37,21.1,-10.0,-14.6,87.7,113.07
2009-01-17,0.31,19.3,-9.0,-10.8,96.3,113.38
2009-01-18,3.49,17.3,-7.1,-11.0,97.4,116.87
2009-01-19,11.94,15.7,-5.4,-7.3,99.2,128.81
2009-01-20,8.09,12.6,-2.8,-5.2,100.0,136.90
2009-01-21,0.45,11.3,-2.6,-3.7,100.0,137.35
